States,Cases ,Population ,Hospitals ,Log_winter,Log_summer,Log_Crime,Log_homeless,Log_young,GDP,Crime ,Homeless,Young,Winter ,Summer
Alabama,834582,4903185,90,1.667452953,1.895422546,2.656673046,3.513350799,1.346352974,203.96,453.6,3261,22.2,46.5,78.6
Alaska,136822,731545,10,0.414973348,1.718501689,2.923140356,3.280350693,1.390935107,50.25,837.8,1907,24.6,2.6,52.3
Arizona,1182885,7278717,77,1.639486489,1.892651034,2.685562611,4.0003039,1.352182518,331.35,484.8,10007,22.5,43.6,78.1
Arkansas,515524,3017804,52,1.618048097,1.896526217,2.827304641,3.434089638,1.365487985,120.91,671.9,2717,23.2,41.5,78.8
California,4830954,39512223,338,1.664641976,1.86569606,2.645422269,5.179775774,1.352182518,2832.62,442,151278,22.5,46.2,73.4
Colorado,757147,5758736,57,1.411619706,1.814247596,2.626443025,3.983129925,1.340444115,364.74,423.1,9619,21.9,25.8,65.2
Connecticut,404969,3565287,35,1.45484486,1.840106094,2.259115844,3.48187241,1.309630167,245.8,181.6,3033,20.4,28.5,69.2
Delaware,145056,973764,8,1.557507202,1.870403905,2.635383204,2.96425963,1.320146286,63.55,431.9,921,20.9,36.1,74.2
Florida,3703111,21477737,218,1.773786445,1.908485019,2.583878598,4.452215914,1.294466226,994.18,383.6,28328,19.7,59.4,81
Georgia,1641036,10617423,113,1.679427897,1.895974732,2.602168551,4.018825278,1.372912003,563.81,400.1,10443,23.6,47.8,78.7
Hawaii,84814,1415872,14,1.828659897,1.858537198,2.405175546,3.806993514,1.326335861,74.29,254.2,6412,21.2,67.4,72.2
Idaho,295147,1787065,18,1.404833717,1.804139432,2.384890797,3.364550995,1.399673721,76.81,242.6,2315,25.1,25.4,63.7
Illinois,1712986,12671821,142,1.451786436,1.86569606,2.62930764,4.008557592,1.346352974,780.34,425.9,10199,22.2,28.3,73.4
Indiana,1030291,6732219,102,1.46834733,1.859738566,2.55351894,3.738066715,1.365487985,351.74,357.7,5471,23.2,29.4,72.4
Iowa,530607,3155070,40,1.336459734,1.854913022,2.482158695,3.364550995,1.361727836,182.53,303.5,2315,23,21.7,71.6
Kansas,438196,2913314,55,1.503790683,1.883093359,2.62838893,3.376759395,1.380211242,164.82,425,2381,24,31.9,76.4
Kentucky,750985,4467673,73,1.555094449,1.872156273,2.413467413,3.610553705,1.350248018,196.04,259.1,4079,22.4,35.9,74.5
Louisiana,761849,4648794,110,1.706717782,1.909020854,2.805772632,3.468495025,1.369215857,228.81,639.4,2941,23.4,50.9,81.1
Maine,107074,1344212,19,1.225309282,1.804139432,2.035829825,3.323458367,1.267171728,61.07,108.6,2106,18.5,16.8,63.7
Maryland,564564,6045680,54,1.540329475,1.865103975,2.601951404,3.816970038,1.344392274,371.92,399.9,6561,22.1,34.7,73.3
Massachusetts,861480,6892503,72,1.437750563,1.832508913,2.489677292,4.266490408,1.292256071,524.34,308.8,18471,19.6,27.4,68
Michigan,1309655,9986857,106,1.336459734,1.820857989,2.679427897,3.933234129,1.33243846,469.79,478,8575,21.5,21.7,66.2
Minnesota,806462,5639632,55,1.093421685,1.824776462,2.443262987,3.901839592,1.36361198,344.05,277.5,7977,23.1,12.4,66.8
Mississippi,506556,2976149,70,1.669316881,1.900367129,2.464191371,3.073351702,1.371067862,103.87,291.2,1184,23.5,46.7,79.5
Missouri,860112,6137428,83,1.509202522,1.877371346,2.734559822,3.790918195,1.348304863,297.32,542.7,6179,22.3,32.3,75.4
Montana,180452,1068778,18,1.326335861,1.807535028,2.671913012,3.132579848,1.330413773,48.65,469.8,1357,21.4,21.2,64.2
Nebraska,288257,1934408,27,1.409933123,1.856124444,2.523876476,3.373831145,1.390935107,124.82,334.1,2365,24.6,25.7,71.8
Nevada,455163,3080156,31,1.507855872,1.838849091,2.663040975,3.85545858,1.352182518,153.03,460.3,7169,22.5,32.2,69
New Hampshire,139324,1359711,14,1.324282455,1.8162413,2.165541077,3.144885418,1.274157849,78.84,146.4,1396,18.8,21.1,65.5
New Jersey,1205140,8882190,78,1.51851394,1.858537198,2.290924559,3.947531746,1.338456494,565.52,195.4,8862,21.8,33,72.2
New Mexico,281282,2096829,36,1.557507202,1.853698212,2.89114703,3.510679031,1.356025857,95.67,778.3,3241,22.7,36.1,71.4
New York,2662214,19453561,186,1.367355921,1.822821645,2.560862695,4.964217189,1.315970345,1510.83,363.8,92091,20.7,23.3,66.5
North Carolina,1489653,10488084,108,1.624282096,1.87909588,2.622524862,3.969136234,1.340444115,530.37,419.3,9314,21.9,42.1,75.7
North Dakota,151041,762062,10,1.086359831,1.823474229,2.517195898,2.745855195,1.372912003,57.91,329,557,23.6,12.2,66.6
Ohio,1565043,11689100,149,1.469822016,1.850646235,2.489677292,4.014730495,1.344392274,616.83,308.8,10345,22.1,29.5,70.9
Oklahoma,648209,3956971,90,1.592176757,1.900913068,2.66143405,3.595936906,1.382017043,196.41,458.6,3944,24.1,39.1,79.6
Oregon,371001,4217737,37,1.531478917,1.804139432,2.465234095,4.20074109,1.311753861,223.69,291.9,15876,20.5,34,63.7
Pennsylvania,1585476,12801989,175,1.45331834,1.836324116,2.590507462,4.120541029,1.31386722,714.05,389.5,13199,20.6,28.4,68.6
Rhode Island,181079,1059361,11,1.496929648,1.837588438,2.363235804,3.02325246,1.285557309,53.17,230.8,1055,19.3,31.4,68.8
South Carolina,902329,5148714,67,1.663700925,1.894316063,2.724849088,3.6203443,1.334453751,219.46,530.7,4172,21.6,46.1,78.4
South Dakota,156995,884659,24,1.290034611,1.844477176,2.70018433,2.997823081,1.389166084,48.86,501.4,995,24.5,19.5,69.9
Tennessee,1286713,6829174,98,1.592176757,1.878521796,2.827821428,3.873146151,1.344392274,340.77,672.7,7467,22.1,39.1,75.6
Texas,4255616,28995881,367,1.680335513,1.909020854,2.649821463,4.412426945,1.40654018,1820.85,446.5,25848,25.5,47.9,81.1
Utah,560604,3205958,36,1.450249108,1.84260924,2.416141031,3.44684771,1.462397998,178.38,260.7,2798,29,28.2,69.6
Vermont,41644,623989,7,1.28780173,1.813580989,2.239049093,3.03702788,1.26245109,29.84,173.4,1089,18.3,19.4,65.1
Virginia,933542,8535519,90,1.565847819,1.864511081,2.319522449,3.762153192,1.338456494,491.84,208.7,5783,21.8,36.8,73.2
Washington,739195,7614893,61,1.51851394,1.804820679,2.467903947,4.333991062,1.338456494,566.23,293.7,21577,21.8,33,63.8
West Virginia,276267,1792147,33,1.515873844,1.846337112,2.551327988,3.145196406,1.303196057,72.62,355.9,1397,20.1,32.8,70.2
Wisconsin,896366,5822434,78,1.235528447,1.824776462,2.509740016,3.656864492,1.338456494,303.18,323.4,4538,21.8,17.2,66.8
Wyoming,105318,578759,14,1.326335861,1.802773725,2.369586891,2.738780558,1.36361198,37.01,234.2,548,23.1,21.2,63.5
